Frame no.	Bubble_1	Bubble_2	Bubble_3	Bubble_4	Bubble_5	Bubble_6	Bubble_7	Bubble_8	Bubble_9	Bubble_10
Frame 91	(217, 42)	(329, 287)	(414, 421)	(423, 609)	(757, 156)	(849, 242)	(865, 448)	(1148, 376)	(1197, 373)	
Frame 92	(280, 118)	(342, 343)	(414, 284)	(502, 625)	(805, 229)	(818, 426)	(963, 204)	(1130, 240)	(1175, 238)	(1248, 447)
Frame 93	(275, 275)	(286, 206)	(504, 588)	(517, 272)	(799, 393)	(821, 327)	(885, 278)	(1068, 128)	(1213, 534)	
Frame 94	(267, 186)	(285, 271)	(506, 544)	(619, 257)	(791, 348)	(876, 204)	(1006, 244)	(1178, 466)		
Frame 95	(184, 208)	(509, 497)	(730, 383)	(755, 306)	(1020, 67)	(1053, 233)	(1115, 375)			
Frame 96	(198, 221)	(375, 113)	(506, 455)	(612, 414)	(755, 291)	(816, 230)	(886, 83)	(1030, 304)		
Frame 97	(275, 150)	(391, 33)	(471, 509)	(535, 405)	(630, 409)	(737, 260)	(795, 146)	(913, 221)	(1020, 201)	(1024, 369)
Frame 98	(274, 547)	(343, 83)	(515, 372)	(664, 439)	(722, 227)	(868, 163)	(927, 143)	(1010, 215)	(1012, 437)	
Frame 99	(109, 549)	(424, 37)	(469, 339)	(591, 502)	(712, 195)	(849, 151)	(998, 140)	(999, 499)	(1092, 215)	
Frame 100	(130, 431)	(427, 306)	(511, 18)	(582, 504)	(715, 163)	(837, 235)	(971, 564)	(1196, 229)		
Frame 101	(139, 312)	(378, 275)	(522, 77)	(578, 537)	(634, 10)	(686, 134)	(829, 319)	(946, 609)	(1186, 216)	(1203, 277)
Frame 102	(94, 214)	(327, 248)	(578, 566)	(599, 109)	(666, 115)	(703, 41)	(831, 399)	(904, 640)	(1185, 327)	(1208, 288)
Frame 103	(71, 182)	(276, 226)	(560, 601)	(633, 135)	(730, 95)	(817, 643)	(857, 479)	(1173, 374)	(1225, 358)	
Frame 104	(155, 120)	(201, 210)	(231, 231)	(550, 628)	(596, 157)	(757, 161)	(767, 620)	(795, 28)	(1157, 418)	(1248, 426)
Frame 105	(180, 254)	(340, 120)	(506, 613)	(568, 177)	(715, 585)	(780, 228)	(838, 571)	(870, 20)	(1127, 462)	(1231, 494)
Frame 106	(187, 288)	(462, 600)	(512, 143)	(618, 549)	(671, 538)	(781, 507)	(795, 289)	(906, 69)	(1078, 507)	(1213, 558)
Frame 107	(200, 324)	(418, 586)	(508, 218)	(647, 486)	(652, 184)	(743, 438)	(786, 357)	(931, 131)	(1020, 534)	(1210, 621)
Frame 108	(214, 353)	(374, 571)	(478, 237)	(632, 435)	(719, 358)	(763, 413)	(784, 129)	(941, 192)	(955, 546)	(1135, 659)
Frame 109	(267, 345)	(336, 563)	(457, 259)	(621, 389)	(696, 460)	(885, 527)	(897, 88)	(960, 250)		
Frame 110	(294, 548)	(301, 325)	(435, 276)	(608, 337)	(612, 489)	(827, 519)	(1009, 76)	(1028, 575)	(1037, 263)	
Frame 111	(271, 533)	(323, 296)	(412, 298)	(518, 492)	(579, 303)	(604, 192)	(780, 489)	(980, 123)	(1059, 123)	(1146, 259)
Frame 112	(246, 513)	(340, 270)	(394, 319)	(449, 455)	(555, 255)	(736, 459)	(932, 200)	(1187, 307)		
Frame 113	(207, 488)	(334, 255)	(374, 335)	(394, 416)	(437, 193)	(521, 216)	(701, 433)	(927, 285)	(1111, 421)	(1227, 353)
Frame 114	(182, 475)	(340, 234)	(341, 377)	(375, 145)	(470, 188)	(679, 405)	(1050, 311)	(1153, 386)	(1231, 402)	
Frame 115	(159, 462)	(291, 341)	(334, 95)	(336, 370)	(376, 259)	(406, 196)	(636, 381)	(1076, 375)	(1175, 428)	(1215, 449)
Frame 116	(133, 450)	(230, 325)	(271, 80)	(319, 383)	(353, 224)	(422, 176)	(603, 350)	(1038, 446)	(1156, 477)	(1197, 493)
Frame 117	(111, 441)	(253, 127)	(304, 404)	(315, 251)	(435, 197)	(582, 325)	(991, 505)	(1132, 512)	(1184, 531)	
